UF_RESIDENCIA,AVG_WEIGHT,AVG_HEIGHT,MAX_WEIGHT,MAX_HEIGHT,MIN_WEIGHT,MIN_HEIGHT,SAMPLE_SIZE
AC,64.36993865030675,170.31042944785275,124.0,193.0,40.0,150.0,1630
AL,65.94776684330053,172.112036336109,175.0,197.0,40.0,120.0,1321
AM,64.28972953862471,170.4076365564787,180.0,202.0,35.0,120.0,5657
AP,65.25818639798489,169.75944584382873,169.0,188.0,40.0,151.0,794
BA,65.32420091324201,174.09680365296805,169.0,205.0,37.0,120.0,6570
CE,65.38351088466882,169.83557202408522,167.0,195.0,40.0,145.0,4318
DF,67.34198671451477,174.89279987783462,182.0,200.0,39.0,120.0,13097
ES,67.01509433962264,173.4319039451115,135.0,197.0,40.0,154.0,2915
GO,67.64965741074649,173.82672196177424,153.0,203.0,43.0,143.0,5546
MA,63.34241486068112,170.10030959752322,172.0,194.0,39.0,130.0,1615
MG,66.74156028368795,174.22751773049646,187.0,205.0,40.0,125.0,21150
MS,66.98436288446626,173.12432153011113,174.0,202.0,33.0,120.0,7738
MT,67.07582582582583,172.31981981981983,170.0,199.0,40.0,150.0,5328
PA,63.19710817078161,169.30446051016233,181.0,198.0,32.0,142.0,7331
PB,72.30748299319728,170.32380952380953,180.0,197.0,42.0,130.0,1470
PE,66.34096340083009,172.52446233178216,161.0,200.0,34.0,120.0,7951
PI,63.83000997008973,169.9391824526421,120.0,194.0,40.0,148.0,2006
PR,67.5074464714137,173.35924131999457,182.0,205.0,40.0,120.0,22091
RJ,69.0701064022575,175.4098946332876,182.0,204.0,34.0,120.0,38627
RN,66.81616217717301,170.98083865592892,130.0,196.0,41.0,150.0,3601
RO,64.64983351831299,170.8951165371809,111.0,202.0,42.0,140.0,1802
RR,65.63128930817611,170.77358490566039,156.0,195.0,40.0,130.0,1272
RS,69.37450392807969,174.16797602656516,190.0,210.0,38.0,120.0,37041
SC,68.46275018532246,174.29827650111193,172.0,205.0,41.0,120.0,10792
SE,66.7922261484099,172.4120141342756,120.0,196.0,43.0,141.0,1415
SP,68.9310823020192,174.86235370747798,181.0,205.0,36.0,122.0,47593
TO,66.84126984126983,173.4021164021164,123.0,199.0,45.0,155.0,756
BR,67.78336788634991,173.80930559911872,190.0,210.0,32.0,120.0,261434
