UF_RESIDENCIA,AVG_WEIGHT,AVG_HEIGHT,MAX_WEIGHT,MAX_HEIGHT,MIN_WEIGHT,MIN_HEIGHT,SAMPLE_SIZE
AC,66.86089238845145,173.66981627296587,120.0,196.0,42.0,156.0,1905
AL,68.48256880733945,173.98899082568806,120.0,199.0,42.0,121.0,1635
AM,66.82501979414093,171.6568261508879,156.0,200.0,40.0,150.0,8841
AP,66.36750788643533,171.7255520504732,100.0,198.0,46.0,130.0,634
BA,68.39727746669242,174.53089399497972,183.0,200.0,34.0,120.0,10358
CE,68.83247835844823,171.13193331195896,172.0,198.0,37.0,120.0,6238
DF,69.54025884778376,175.67180162638874,196.0,206.0,32.0,120.0,17462
ES,71.19232790331056,174.27009984235417,172.0,200.0,44.0,148.0,1903
GO,69.87847929395791,174.5979633401222,175.0,203.0,34.0,130.0,7365
MA,65.4487072560467,171.12677231025856,172.0,197.0,32.0,120.0,3597
MG,68.76940948693127,174.47500484027105,176.0,206.0,36.0,120.0,25825
MS,69.8471435923829,175.51260936695832,170.0,200.0,31.0,120.0,9715
MT,68.95028589580686,173.20933926302413,192.0,200.0,38.0,125.0,6296
PA,66.31733439111464,171.39217241835252,179.0,199.0,39.0,146.0,7563
PB,68.18067919551599,172.90603363006923,167.0,196.0,44.0,150.0,3033
PE,68.26510369702434,172.87376014427412,181.0,203.0,37.0,120.0,11090
PI,66.6823495865412,172.07755916737952,122.0,206.0,39.0,138.0,3507
PR,69.30870671705098,173.92565743811213,189.0,220.0,32.0,120.0,25934
RJ,70.09406441626481,175.44996130261356,187.0,220.0,30.0,120.0,33594
RN,68.90892857142858,171.88367346938776,126.0,198.0,36.0,150.0,3920
RO,67.63623344074472,173.20981023988543,164.0,198.0,40.0,153.0,2793
RR,67.9505530253741,169.4918672739102,158.0,197.0,40.0,146.0,1537
RS,71.1304871875226,173.74264156401418,190.0,212.0,30.0,120.0,41483
SC,69.84747409326425,174.2102493523316,199.0,203.0,33.0,120.0,12352
SE,68.83029341792228,172.98413957176842,127.0,194.0,42.0,152.0,1261
SP,71.02030824702182,174.6877408179858,199.0,210.0,30.0,120.0,56578
TO,67.66903073286052,173.7340425531915,111.0,196.0,47.0,145.0,846
BR,69.61149803104762,174.08776645946563,199.0,220.0,30.0,120.0,307270
