UF_RESIDENCIA,AVG_WEIGHT,AVG_HEIGHT,MAX_WEIGHT,MAX_HEIGHT,MIN_WEIGHT,MIN_HEIGHT,SAMPLE_SIZE
AC,66.94266747133373,171.68678334339168,115.0,198.0,43.0,155.0,1657
AL,68.94018817204301,173.95228494623655,125.0,198.0,43.0,155.0,1488
AM,64.82790755467197,171.33399602385686,160.0,210.0,36.0,120.0,8048
AP,65.76117318435755,169.21787709497207,114.0,190.0,46.0,120.0,716
BA,68.67934674367656,175.23800039832702,183.0,210.0,42.0,120.0,10042
CE,68.37023160762942,170.24386920980928,137.0,198.0,40.0,130.0,5872
DF,69.38484504687406,176.26954081328,186.0,230.0,35.0,120.0,16747
ES,69.80908551068883,174.42191211401425,168.0,198.0,41.0,150.0,3368
GO,68.77596354661097,174.9459844313651,172.0,203.0,36.0,126.0,10534
MA,65.8738644304682,171.98812019566736,163.0,208.0,42.0,147.0,2862
MG,68.18202996200989,174.18776431797005,190.0,208.0,31.0,120.0,27902
MS,69.81089835191007,175.46041726207488,182.0,202.0,34.0,120.0,10497
MT,69.40766550522648,173.3988630111865,163.0,200.0,36.0,135.0,5453
PA,64.49312422744129,167.32995982694686,168.0,198.0,36.0,120.0,12944
PB,68.2442396313364,172.94996708360765,128.0,199.0,40.0,148.0,3038
PE,68.21251688428636,172.01377757766772,176.0,203.0,31.0,122.0,11105
PI,65.80445451113627,170.9278973197433,160.0,195.0,40.0,120.0,2649
PR,69.04223181257707,173.94327990135636,172.0,205.0,30.0,120.0,25952
RJ,71.00789848760789,175.71177448729117,197.0,208.0,36.0,120.0,50516
RN,69.04985023534446,171.85622593068035,164.0,200.0,40.0,124.0,4674
RO,67.71157291293443,173.88785381583662,159.0,198.0,43.0,152.0,2791
RR,67.3092841163311,169.2768456375839,137.0,194.0,42.0,120.0,1788
RS,70.4843819670977,173.65471357161297,176.0,208.0,32.0,120.0,42611
SC,70.05722863308003,174.47781217750259,170.0,211.0,33.0,120.0,10659
SE,68.32310838445808,172.41036128152692,129.0,195.0,41.0,155.0,1467
SP,70.57305077968813,174.7109556177529,197.0,210.0,32.0,120.0,50020
TO,67.11838989739542,175.9936858721389,119.0,200.0,41.0,153.0,1267
BR,69.32937927994392,173.98518990170479,197.0,230.0,30.0,120.0,326669
