UF_RESIDENCIA,AVG_WEIGHT,AVG_HEIGHT,MAX_WEIGHT,MAX_HEIGHT,MIN_WEIGHT,MIN_HEIGHT,SAMPLE_SIZE
AC,68.07837980010521,172.56233561283534,120.0,193.0,45.0,120.0,1901
AL,67.7397504456328,173.47326203208556,169.0,195.0,41.0,124.0,1122
AM,66.32763026330407,170.65848239084545,179.0,200.0,33.0,121.0,9001
AP,69.93541835905768,170.1515028432169,177.0,203.0,30.0,120.0,2462
BA,68.32199066874028,174.67097978227062,200.0,210.0,34.0,120.0,16075
CE,68.63216749940518,170.81727337615987,160.0,198.0,41.0,144.0,4203
DF,68.35962738227502,174.72669002649346,182.0,207.0,35.0,120.0,11701
ES,70.21508379888269,175.09944134078214,130.0,197.0,43.0,155.0,1790
GO,69.90741019089133,174.67638659251466,185.0,203.0,41.0,120.0,6653
MA,66.03232255914695,171.52782405864713,175.0,209.0,41.0,120.0,3001
MG,68.18727111522301,174.25515593076597,186.0,210.0,34.0,120.0,25941
MS,69.09146022786662,174.9847392076931,200.0,210.0,30.0,120.0,9567
MT,69.04529487890552,173.61711961545572,190.0,198.0,30.0,120.0,5409
PA,66.08358583220144,170.4316163410302,200.0,250.0,30.0,120.0,9571
PB,69.59064775776159,172.9014948256037,167.0,199.0,40.0,153.0,2609
PE,68.43270559778853,172.5508811333794,175.0,206.0,36.0,120.0,11576
PI,66.78315018315018,171.1930402930403,173.0,196.0,38.0,120.0,2730
PR,70.49393860392361,174.2398487909796,197.0,207.0,30.0,120.0,30686
RJ,70.38044386915837,175.12434269072082,186.0,210.0,30.0,120.0,37083
RN,68.59986489529385,171.65886061697816,175.0,196.0,41.0,120.0,4441
RO,67.90790048013967,174.69183762549105,131.0,200.0,40.0,121.0,2291
RR,65.70386988222097,170.38867077958497,174.0,193.0,38.0,120.0,1783
RS,70.55169247251486,173.22579904599138,190.0,212.0,30.0,120.0,39203
SC,70.37744902039185,174.3238038118086,200.0,203.0,30.0,120.0,15006
SE,68.9389179755672,174.04363001745202,178.0,216.0,42.0,120.0,1146
SP,70.40445926966292,174.29884129213482,195.0,210.0,30.0,120.0,56960
TO,66.18725099601593,173.933598937583,121.0,198.0,44.0,132.0,753
BR,69.45049560013855,173.80916137274406,200.0,250.0,30.0,120.0,314669
