UF_RESIDENCIA,AVG_WEIGHT,AVG_HEIGHT,MAX_WEIGHT,MAX_HEIGHT,MIN_WEIGHT,MIN_HEIGHT,SAMPLE_SIZE
AC,67.09298345693098,171.61779806046778,115.0,196.0,40.0,151.0,1753
AL,68.19857594936708,173.68196202531647,170.0,198.0,43.0,120.0,1264
AM,66.11413748378729,172.9108595684471,170.0,200.0,34.0,120.0,8481
AP,65.44601638123603,169.98212956068502,173.0,197.0,47.0,120.0,1343
BA,67.97812085622277,174.34277325250994,167.0,200.0,37.0,140.0,10558
CE,68.84984203679613,171.3372979000186,168.0,197.0,35.0,120.0,5381
DF,69.51168548825412,176.13382450631076,198.0,215.0,36.0,120.0,16559
ES,70.22224909310762,174.98887545344618,182.0,201.0,39.0,120.0,4135
GO,68.75663865546218,175.0895238095238,185.0,203.0,36.0,120.0,8925
MA,65.18792899408284,170.82603550295858,179.0,198.0,40.0,120.0,4225
MG,68.2463476070529,173.9962022863786,185.0,205.0,35.0,120.0,25805
MS,68.07359532992807,174.12853122068174,182.0,205.0,34.0,120.0,9593
MT,68.72589553416444,172.72968281521224,169.0,200.0,42.0,138.0,6337
PA,64.80275944811038,169.87330533893223,171.0,200.0,43.0,120.0,8335
PB,67.03369803063457,172.69628008752736,132.0,195.0,40.0,152.0,2285
PE,68.17798452308494,172.45439526997652,170.0,198.0,32.0,120.0,11501
PI,65.09128474830955,171.09879789631856,167.0,195.0,41.0,120.0,2662
PR,69.1238464679461,173.50004083299305,192.0,205.0,30.0,127.0,24490
RJ,69.34337244351444,174.62190170141744,196.0,205.0,31.0,120.0,40143
RN,68.63527054108216,172.1991482965932,130.0,197.0,32.0,132.0,3992
RO,67.36014123185564,173.68968222832484,182.0,204.0,44.0,151.0,2549
RR,66.4524886877828,168.90562378797674,136.0,196.0,33.0,148.0,1547
RS,70.54930887157578,174.01130937421462,191.0,210.0,34.0,120.0,39790
SC,69.72989405803777,174.90971902349148,167.0,210.0,30.0,130.0,10855
SE,68.0028818443804,173.88184438040346,148.0,198.0,45.0,158.0,1388
SP,70.2739740728022,174.53541380494505,181.0,250.0,33.0,120.0,46592
TO,66.85781990521328,173.46682464454977,123.0,198.0,40.0,154.0,1266
BR,68.97578515162863,173.89169099639776,198.0,250.0,30.0,120.0,301757
