UF_RESIDENCIA,AVG_WEIGHT,AVG_HEIGHT,MAX_WEIGHT,MAX_HEIGHT,MIN_WEIGHT,MIN_HEIGHT,SAMPLE_SIZE
AC,66.28513824884793,171.61175115207374,119.0,197.0,41.0,152.0,1736
AL,67.84189031505251,173.66219369894984,127.0,198.0,37.0,135.0,1714
AM,65.51374589885734,172.1305577554022,175.0,205.0,33.0,120.0,8839
AP,67.10892388451444,170.96850393700788,158.0,191.0,39.0,155.0,762
BA,67.62419370844498,174.2585094770269,176.0,200.0,36.0,120.0,10077
CE,68.39073699687557,171.51240580775593,177.0,198.0,32.0,150.0,5441
DF,68.23283432299071,175.08973822865266,183.0,210.0,31.0,120.0,11957
ES,70.06895531222256,175.47617638354544,140.0,197.0,42.0,120.0,3379
GO,69.11825657894737,174.9266447368421,195.0,202.0,42.0,122.0,6080
MA,65.55667824439533,171.75434164824756,163.0,200.0,40.0,150.0,3167
MG,68.16655253747241,174.62413452027695,179.0,205.0,30.0,120.0,26286
MS,67.5834487534626,174.42463065558633,177.0,200.0,37.0,120.0,8664
MT,67.88914924297043,172.11661860129777,178.0,197.0,35.0,120.0,5548
PA,64.24052478134111,170.0668471470221,130.0,196.0,37.0,150.0,4802
PB,67.14696356275303,172.26275303643726,141.0,198.0,43.0,149.0,2470
PE,68.7190726317696,173.8475819597899,185.0,205.0,31.0,120.0,11042
PI,64.77455777192323,170.06247647722995,184.0,197.0,30.0,146.0,2657
PR,68.99453833913904,173.52367436459812,176.0,206.0,32.0,120.0,23253
RJ,68.58017536409282,174.48489920311758,194.0,206.0,31.0,120.0,40031
RN,68.54017995656221,171.85417313062365,170.0,197.0,44.0,123.0,3223
RO,68.38302649303996,173.8055680287382,171.0,196.0,38.0,154.0,2227
RR,66.32665330661322,169.12959251837006,140.0,193.0,43.0,149.0,1497
RS,70.2461396441759,173.8563556003133,191.0,210.0,31.0,120.0,35748
SC,70.09204786936584,175.285426686053,130.0,200.0,41.0,120.0,8941
SE,67.73679935012186,172.85946385052802,164.0,200.0,44.0,155.0,1231
SP,69.60279248916707,175.07546942705827,199.0,205.0,31.0,120.0,49848
TO,66.66606660666066,173.84518451845184,114.0,199.0,38.0,140.0,1111
BR,68.65380492652801,174.0301412649961,199.0,210.0,30.0,120.0,281740
