UF_RESIDENCIA,AVG_WEIGHT,AVG_HEIGHT,MAX_WEIGHT,MAX_HEIGHT,MIN_WEIGHT,MIN_HEIGHT,SAMPLE_SIZE
AC,68.7428722280887,172.4883843717001,176.0,195.0,38.0,120.0,1894
AL,68.12080536912751,173.111217641419,179.0,197.0,41.0,120.0,1043
AM,68.60973327094057,171.25970987365466,183.0,205.0,30.0,120.0,8548
AP,68.08310502283105,171.50593607305936,147.0,199.0,42.0,120.0,1095
BA,69.0254691689008,175.33949484972484,200.0,220.0,38.0,120.0,14174
CE,68.94854660875376,171.89007684597394,164.0,198.0,30.0,120.0,2993
DF,68.61275430359937,173.4317683881064,185.0,200.0,30.0,120.0,12780
ES,70.44633730834752,175.28492333901193,136.0,200.0,40.0,130.0,2348
GO,69.38780727630285,174.00098328416914,200.0,200.0,30.0,120.0,5085
MA,65.71099116781159,172.0206084396467,181.0,192.0,40.0,120.0,2038
MG,69.01922595712736,174.34402368838101,200.0,207.0,30.0,120.0,23978
MS,69.08431018935978,174.6422452660054,200.0,249.0,30.0,120.0,8872
MT,70.20089525514771,174.77350044762758,188.0,200.0,30.0,120.0,5585
PA,67.38081730343055,170.86233489938834,200.0,200.0,30.0,120.0,11281
PB,68.70178335535006,173.98513870541612,200.0,200.0,30.0,120.0,3028
PE,68.58157370517928,172.68844621513944,200.0,200.0,30.0,120.0,10040
PI,67.8155129789864,172.51297898640297,188.0,200.0,40.0,120.0,3236
PR,69.69805038510911,174.08873555840822,200.0,205.0,30.0,120.0,24928
RJ,69.54837260062914,174.91714279600265,185.0,203.0,31.0,120.0,46731
RN,69.61044830079537,174.64190166305133,200.0,200.0,30.0,120.0,5532
RO,67.20879120879121,174.56272893772893,125.0,198.0,43.0,152.0,2184
RR,68.03667481662592,170.87367563162184,130.0,193.0,44.0,150.0,1227
RS,70.99320208831847,173.43357080704808,200.0,205.0,30.0,120.0,36776
SC,70.62794536995348,174.73067687227976,200.0,204.0,30.0,120.0,13326
SE,68.75584112149532,174.06892523364485,114.0,198.0,35.0,120.0,856
SP,70.77016997385017,174.7563644054761,200.0,213.0,30.0,120.0,52008
TO,67.52481203007518,173.9639097744361,168.0,200.0,30.0,120.0,665
BR,69.6486223598539,174.04498835424275,200.0,249.0,30.0,120.0,302256
