UF_RESIDENCIA,AVG_WEIGHT,AVG_HEIGHT,MAX_WEIGHT,MAX_HEIGHT,MIN_WEIGHT,MIN_HEIGHT,SAMPLE_SIZE
AC,68.01813333333334,171.99093333333334,168.0,194.0,43.0,120.0,1875
AL,69.94533139816158,174.39816158684084,178.0,197.0,39.0,155.0,2067
AM,67.71185039776836,170.96704204979852,190.0,197.0,39.0,120.0,9679
AP,66.75970873786407,171.13228155339806,177.0,192.0,40.0,154.0,824
BA,68.8156533619596,174.77730067336782,190.0,220.0,32.0,120.0,10247
CE,68.9106893106893,171.42357642357643,170.0,197.0,36.0,132.0,5005
DF,68.85986632234544,173.5389639981771,181.0,204.0,30.0,121.0,13166
ES,70.12175324675324,174.24553571428572,150.0,201.0,40.0,150.0,2464
GO,69.47151188873934,174.0028413339315,188.0,200.0,39.0,123.0,6687
MA,65.52795248078267,171.4514325646401,120.0,192.0,36.0,120.0,2862
MG,68.91114132608175,174.57354234983603,180.0,210.0,30.0,120.0,25006
MS,69.86204860769458,175.1643215585949,190.0,218.0,39.0,120.0,10163
MT,69.0609360518999,173.72520852641335,178.0,199.0,39.0,134.0,4316
PA,66.94394315362057,170.55041732461086,172.0,200.0,36.0,120.0,8866
PB,68.6945885841364,173.14455151964418,171.0,197.0,37.0,130.0,2698
PE,68.60671798460461,172.06779216235128,177.0,199.0,35.0,130.0,11432
PI,67.4514157014157,172.11422136422135,119.0,200.0,39.0,153.0,3108
PR,69.75872269147155,173.70152179336398,198.0,206.0,33.0,120.0,28059
RJ,69.75850987860034,174.1585574863128,185.0,207.0,32.0,120.0,42010
RN,69.1046042860174,172.7729683853172,174.0,197.0,41.0,120.0,4713
RO,66.59563818376833,172.8762960314623,128.0,205.0,34.0,147.0,2797
RR,65.73375394321766,169.82902208201892,178.0,192.0,33.0,146.0,1585
RS,70.70408138131481,173.61511367275057,187.0,207.0,30.0,120.0,40599
SC,69.93521087680355,173.6009988901221,178.0,207.0,30.0,120.0,14416
SE,68.45846153846153,174.53538461538463,116.0,198.0,38.0,155.0,1300
SP,70.86340687944377,174.6620896878221,185.0,206.0,30.0,120.0,57243
TO,67.70257966616084,173.86039453717754,113.0,195.0,31.0,153.0,659
BR,69.5912417596773,173.71871226338445,198.0,220.0,30.0,120.0,313853
